datetime,tweets,tweets_pa,tweets_co,tweets_cu,users
2022-10-24T17:37:45.123087832+09:00,4393,4416,9941,7576,2830
2022-10-24T17:52:50.763404886+09:00,4930,4985,11120,8507,3287
2022-10-24T19:17:17.245288130+09:00,6221,6329,14061,10663,4358
2022-10-24T21:21:24.907328219+09:00,8426,8755,18896,14421,6175
2022-10-24T23:35:31.238213799+09:00,10370,10877,23242,17708,7759
2022-10-25T01:18:27.534990208+09:00,11602,12189,25957,19837,8596
2022-10-25T03:21:53.449877089+09:00,11873,12480,26546,20312,8763
2022-10-25T05:11:13.201448998+09:00,11963,12573,26750,20465,8815
2022-10-25T07:10:25.599416125+09:00,12201,12818,27287,20873,8926
2022-10-25T09:59:30.653433756+09:00,12636,13295,28264,21590,9138
2022-10-25T13:17:28.482181374+09:00,13169,13851,29472,22488,9379
2022-10-25T15:48:27.431999191+09:00,13469,14157,30137,23016,9516
2022-10-25T17:19:08.699531732+09:00,13663,14350,30592,23338,9594
2022-10-25T19:14:55.325972874+09:00,14023,14724,31397,23959,9730
2022-10-25T23:32:12.439946802+09:00,15954,16703,35627,27398,10347
2022-10-26T01:22:03.176477077+09:00,16774,17544,37504,28776,10601
2022-10-26T03:35:21.488783099+09:00,17020,17831,38047,29175,10668
2022-10-26T05:13:53.689106964+09:00,17083,17899,38177,29292,10693
2022-10-26T07:10:00.965159705+09:00,17253,18050,38582,29581,10731
2022-10-26T09:45:49.903250222+09:00,17650,18481,39472,30245,10847
2022-10-26T12:44:01.097048307+09:00,17963,18821,40164,30778,10942
2022-10-26T13:44:07.592694337+09:00,18077,18953,40417,30963,10974
2022-10-26T15:12:58.920197763+09:00,18195,19079,40682,31162,11012
2022-10-26T17:12:56.134515033+09:00,18393,19270,41120,31523,11057
2022-10-26T19:09:40.037220419+09:00,18654,19536,41694,31988,11123
2022-10-26T21:19:07.475351642+09:00,19277,20135,43094,33096,11264
2022-10-26T23:19:07.780554943+09:00,20078,21007,44875,34445,11430
2022-10-27T01:11:53.477187787+09:00,20900,21800,46795,35841,11605
2022-10-27T03:11:43.100231181+09:00,21070,21998,47156,36132,11649
2022-10-27T05:09:53.807089661+09:00,21130,22067,47281,36238,11662
2022-10-27T07:10:24.514251221+09:00,21323,22260,47731,36560,11693
2022-10-27T09:48:25.436041575+09:00,21663,22623,48483,37145,11761
2022-10-27T12:38:26.723760762+09:00,21903,22861,49024,37566,11821
2022-10-27T13:37:58.420135754+09:00,22017,22966,49288,37766,11851
2022-10-27T15:11:52.889594102+09:00,22129,23069,49560,37951,11877
2022-10-27T17:14:26.113924137+09:00,22292,23232,49924,38239,11912
2022-10-27T19:10:08.072072525+09:00,22519,23444,50446,38639,11952
2022-10-27T21:19:25.517310492+09:00,23013,23930,51554,39514,12038
2022-10-27T23:21:31.453330088+09:00,23816,24697,53391,40924,12174
2022-10-28T01:12:43.828885801+09:00,24597,25426,55197,42294,12319
2022-10-28T03:11:50.465655459+09:00,24759,25610,55540,42577,12354
